ID,SMOOTHED_AMPLITUDE_mean,SMOOTHED_AMPLITUDE_std,SMOOTHED_AMPLITUDE_max,VELOCITY_mean,VELOCITY_std,VELOCITY_max,ACCELERATION_mean,ACCELERATION_std,ACCELERATION_max,DISTANCE_ANG_mean,DISTANCE_ANG_std,FREQUENCY_mean,FREQUENCY_std,FREQUENCY_count,INTERVAL_STD,INTERVAL_CV
CONTROL1000_DCHA,0.356732734,0.186024676,0.651015578,-0.014808313,1.480072585,2.707133165,-0.014808313,1.480072585,2.707133165,0.212848911,0.143823196,0.091392576,0.329116011,150,0.058743023,0.143634959
CONTROL1000_IZDA,0.319225681,0.163703615,0.558288309,0.009628752,1.312514087,2.410428612,0.009628752,1.312514087,2.410428612,0.204582718,0.126763243,0.093398273,0.336612721,150,0.115183591,0.261994189
CONTROL1002_DCHA,0.206190763,0.093652874,0.378132641,-0.005971161,0.930499136,1.417515408,-0.005971161,0.930499136,1.417515408,0.097492064,0.088592271,0.18966115,0.555009908,150,0.182854269,0.320420497
CONTROL1002_IZDA,0.24587339,0.084323407,0.478738257,-0.000706603,1.123281559,1.825292954,-0.000706603,1.123281559,1.825292954,0.119533579,0.099439006,0.417528056,0.967677091,150,0.093306677,0.20753964
CONTROL101_DCHA,0.268520014,0.132249994,0.657216775,0.027297465,1.803313102,2.877361291,0.027297465,1.803313102,2.877361291,0.147029334,0.130955518,0.446458304,1.011618665,150,0.104667144,0.230652752
CONTROL101_IZDA,0.324525936,0.174983178,0.673084075,0.048504226,2.218433435,3.198101841,0.048504226,2.218433435,3.198101841,0.20306061,0.158592702,0.364873222,0.884961403,150,0.088342937,0.199070711
CONTROL102_DCHA,0.317743562,0.160740303,0.592510542,-0.036377817,1.486067941,2.450852481,-0.036377817,1.486067941,2.450852481,0.204305561,0.128888779,0.138750139,0.4352778,150,0.027794204,0.082126083
CONTROL102_IZDA,0.381598625,0.222934007,0.739580624,-0.005837196,1.659018046,3.085668326,-0.005837196,1.659018046,3.085668326,0.245703198,0.168791604,0.110650158,0.423259581,150,0.049184317,0.106987896
CONTROL103_DCHA,0.385121434,0.210135575,0.774993238,-0.014364911,2.801643943,3.894959549,-0.014364911,2.801643943,3.894959549,0.240324024,0.202463462,0.297750025,0.767008217,150,0.092032417,0.17107036
CONTROL103_IZDA,0.473324138,0.24541408,0.846877881,-0.001888955,3.108424763,4.254592763,-0.001888955,3.108424763,4.254592763,0.326560664,0.24786376,0.35147139,0.86137091,150,0.089522709,0.191662969
CONTROL104_DCHA,0.485344786,0.326998961,1.08946602,-0.038495566,1.787788948,5.492463894,-0.038495566,1.787788948,5.492463894,0.22269277,0.149778849,0.12159624,0.494886433,150,0.129125905,0.204809601
CONTROL104_IZDA,0.428634358,0.238610582,0.716533687,-0.045297056,1.204808191,3.223748438,-0.045297056,1.204808191,3.223748438,0.262341998,0.166146767,0.158900303,0.572732949,150,0.176963093,0.300432803
CONTROL105_DCHA,0.318560204,0.167617747,0.65289135,0.024751185,2.387004591,3.25014583,0.024751185,2.387004591,3.25014583,0.181673297,0.168743051,0.375118358,0.887516538,150,0.093244644,0.205882353
CONTROL105_IZDA,0.271990257,0.130536119,0.611512912,0.002755026,1.620272511,2.671499314,0.002755026,1.620272511,2.671499314,0.163804293,0.119655436,0.290752562,0.744796962,150,0.101738217,0.199242422
CONTROL106_DCHA,0.516712221,0.249899751,0.996851201,-0.023396494,3.184147256,4.398412535,-0.023396494,3.184147256,4.398412535,0.347288635,0.304803458,0.274022172,0.727781479,150,0.125114526,0.196312633
CONTROL106_IZDA,0.681034384,0.277083723,1.175584508,-0.033375664,3.630947892,6.129135874,-0.033375664,3.630947892,6.129135874,0.484930763,0.348326526,0.289040935,0.74082169,150,0.122255177,0.220878659
CONTROL107_DCHA,0.580072535,0.286169374,1.037441416,-0.050527647,3.741578802,4.856602034,-0.050527647,3.741578802,4.856602034,0.435954321,0.347273531,0.29499875,0.758582542,150,0.091214476,0.179982891
CONTROL107_IZDA,0.66247514,0.256554588,1.090630772,-0.031296622,3.315609316,4.493676248,-0.031296622,3.315609316,4.493676248,0.495034925,0.331971022,0.300483349,0.779170146,150,0.02491414,0.056691779
CONTROL108_DCHA,0.402282162,0.222003274,0.82599805,-0.006589589,2.154741582,3.60814851,-0.006589589,2.154741582,3.60814851,0.173191137,0.129604423,0.146747902,0.458206781,149,0.133488899,0.317856895
CONTROL108_IZDA,0.421999244,0.222756606,0.824699949,-0.053056259,1.992008823,3.187505844,-0.053056259,1.992008823,3.187505844,0.268091261,0.178457404,0.141868687,0.447959754,150,0.122117828,0.285807683
CONTROL109_DCHA,0.308990654,0.139861454,0.522662422,-0.024457379,1.306681426,2.276848266,-0.024457379,1.306681426,2.276848266,0.193887275,0.115315622,0.193452381,0.563340676,150,0.126861145,0.228922366
CONTROL109_IZDA,0.30545658,0.115133299,0.471239571,-0.012725764,0.989256888,1.938675894,-0.012725764,0.989256888,1.938675894,0.182376638,0.098686023,0.207670416,0.589894855,150,0.116299417,0.245571771
CONTROL10_DCHA,0.605115808,0.313343884,1.064134019,-0.0246253,2.442480354,4.596734937,-0.0246253,2.442480354,4.596734937,0.432353495,0.339942077,0.185817759,0.61286857,145,0.118317797,0.223683035
CONTROL10_IZDA,0.462001532,0.196755683,0.706871064,-0.016242882,1.383013027,2.577648032,-0.016242882,1.383013027,2.577648032,0.203754031,0.136428909,0.085405655,0.35528427,149,0.092544713,0.188120241
CONTROL110_DCHA,0.397266235,0.222405557,0.706048431,-0.062733275,1.771090953,3.011438533,-0.062733275,1.771090953,3.011438533,0.263359468,0.171029257,0.094815793,0.338910713,150,0.025743964,0.066291261
